07-08 16:49:41.328 31993 32010 I dalvikvm-heap: Grow heap (frag case) to 14.432MB for 63504-byte allocation
07-08 16:49:41.390 31993 32010 D dalvikvm: GC_FOR_ALLOC freed 30K, 14% free 14677K/16967K, paused 59ms
07-08 16:49:41.390 31993 32010 I dalvikvm-heap: Grow heap (frag case) to 14.452MB for 52041-byte allocation
07-08 16:49:41.453 31993 32010 D dalvikvm: GC_FOR_ALLOC freed 63K, 14% free 14665K/17031K, paused 62ms
07-08 16:49:41.699 31993 32011 D dalvikvm: GC_FOR_ALLOC freed 167K, 15% free 14591K/17031K, paused 82ms
07-08 16:49:41.699 31993 32011 I dalvikvm-heap: Grow heap (frag case) to 14.388MB for 73744-byte allocation
07-08 16:49:41.742 31993 31993 D dalvikvm: GC_FOR_ALLOC freed 2K, 15% free 14661K/17159K, paused 35ms
07-08 16:49:41.750 31993 31993 D OpenGLRenderer: Flushing caches (mode 1)
07-08 16:49:44.195 31993 32250 D Finsky  : [2119] OnCompleteListenerNotifier.doInBackground: Signature check not required.
07-08 16:49:44.261   143   395 I ActivityManager: Start proc android.process.media for content provider com.android.providers.downloads/.DownloadProvider: pid=3019 uid=10012 gids={1015, 1023, 1024, 2001, 3003, 3007}
07-08 16:49:44.344  3019  3019 I ActivityThread: Pub downloads: com.android.providers.downloads.DownloadProvider
07-08 16:49:44.398  3019  3019 I ActivityThread: Pub drm: com.android.providers.drm.DrmProvider
07-08 16:49:44.398  3019  3032 I DownloadManager: in removeSpuriousFiles
07-08 16:49:44.426  3019  3019 I ActivityThread: Pub media: com.android.providers.media.MediaProvider
07-08 16:49:44.488  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata.json
07-08 16:49:44.488  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/en_general.htm
07-08 16:49:44.488  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /mnt/sdcard/Download/img-thing.jpeg
07-08 16:49:44.492  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-1.json
07-08 16:49:44.492  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/downloadfile.jpeg
07-08 16:49:44.496  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-2.json
07-08 16:49:44.496  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-3.json
07-08 16:49:44.496  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/downloadfile-1.jpeg
07-08 16:49:44.496  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/downloadfile-2.jpeg
07-08 16:49:44.496  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/metadata-4.json
07-08 16:49:44.496  3019  3032 I DownloadManager: in removeSpuriousFiles, preserving file /data/data/com.android.providers.downloads/cache/downloadfile-1.apk
07-08 16:49:44.504  3019  3032 I DownloadManager: deleting spurious file /cache/backup
07-08 16:49:44.922  3019  3020 D dalvikvm: GC_CONCURRENT freed 370K, 5% free 9165K/9607K, paused 22ms+2ms
07-08 16:49:45.027   143   163 I ActivityManager: Start proc com.android.defcontainer for service com.android.defcontainer/.DefaultContainerService: pid=3036 uid=10010 gids={1015, 2001}
07-08 16:49:45.215   143   163 W ActivityManager: No content provider found for permission revoke: file:///data/data/com.android.providers.downloads/cache/downloadfile-1.apk
07-08 16:49:45.562   143   163 W ActivityManager: No content provider found for permission revoke: file:///data/data/com.android.providers.downloads/cache/downloadfile-1.apk
07-08 16:49:46.629   143   145 D dalvikvm: GC_CONCURRENT freed 1557K, 16% free 17849K/21127K, paused 66ms+8ms
07-08 16:49:47.129   143   145 D dalvikvm: JIT code cache reset in 8 ms (1048496 bytes 18/0)
07-08 16:49:47.136   143   145 D dalvikvm: GC_CONCURRENT freed 1968K, 16% free 17828K/21127K, paused 3ms+30ms
07-08 16:49:47.531   221   223 D dalvikvm: GC_CONCURRENT freed 381K, 32% free 9733K/14215K, paused 20ms+3ms
07-08 16:49:48.199   143   145 D dalvikvm: GC_CONCURRENT freed 1918K, 16% free 17868K/21127K, paused 3ms+9ms
07-08 16:49:48.496   143   145 D dalvikvm: GC_CONCURRENT freed 1954K, 16% free 17891K/21127K, paused 3ms+11ms
07-08 16:49:48.761   143   145 D dalvikvm: GC_CONCURRENT freed 1950K, 16% free 17912K/21127K, paused 4ms+7ms
07-08 16:49:49.027   143   145 D dalvikvm: GC_CONCURRENT freed 1940K, 16% free 17924K/21127K, paused 3ms+7ms
07-08 16:49:49.277   143   163 D dalvikvm: GC_EXPLICIT freed 723K, 16% free 17843K/21127K, paused 3ms+19ms
07-08 16:49:49.285 31993 32006 D Finsky  : [2093] 1.packageInstalled: Package install status for "com.android.vending" is -104
07-08 16:49:49.293 31993 32006 W Finsky  : [2093] 1.packageInstalled: Package name mismatsch: ours:  package manager's: com.android.vending
07-08 16:50:04.398 31993 31993 D OpenGLRenderer: Flushing caches (mode 1)
07-08 16:50:08.297  2939  2952 I PhoneLab-: Service Running
07-08 16:50:08.375  2939  2952 I PhoneLab-LoggerService: app_37    1296  1     1436   1000  c00f181c 400107b4 S logcat
07-08 16:50:08.375  2939  2952 I PhoneLab-LoggerService: Logcat pid from database 1296
07-08 16:50:08.375  2939  2952 I PhoneLab-LoggerService: Logcat process found 1296
07-08 16:50:08.375  2939  2952 I PhoneLab-LoggerService: Checking Threshold
07-08 16:50:08.375  2939  2952 I PhoneLab-LoggerService: Starting to rename files
07-08 16:50:08.375  2939  2952 I PhoneLab-LoggerService: Files found .. 2
