04-14 14:53:11.361   974 13003 I PhoneLab-PeriodicCheckService: Logger Service is running
04-14 14:53:11.365   974 13003 I PhoneLab-Locks: wake lock acquired
04-14 14:53:11.365   974   974 I PhoneLab-UploadLogs: Transfering log files now
04-14 14:53:11.365   974 13003 I PhoneLab-PeriodicCheckService: Rescheduling periodic checking...
04-14 14:53:11.369   974 13003 I PhoneLab-Locks: wake lock released
04-14 14:53:11.384   974   974 I PhoneLab-UploadLogs: No log files to transfer
04-14 14:53:11.384   974   974 I PhoneLab-Locks: wake lock released
04-14 14:53:11.388   974   974 I PhoneLab-UploadLogs: OnStartCommand
04-14 14:53:11.462   145   147 D dalvikvm: GC_CONCURRENT freed 1173K, 11% free 14313K/15943K, paused 4ms+6ms
04-14 14:53:27.947   974  1149 I PhoneLab-: Service Running
04-14 14:53:28.005   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 14:53:28.005   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 14:53:28.005   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 14:53:28.005   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 14:53:28.005   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 14:53:28.005   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 14:53:28.005   974  1149 I PhoneLab-LoggerService: File 1 log.out.1
04-14 14:53:28.013   974  1149 I PhoneLab-LoggerService: Renamed successfully
04-14 14:55:27.947   974  1149 I PhoneLab-: Service Running
04-14 14:55:28.009   974   976 D dalvikvm: GC_CONCURRENT freed 428K, 16% free 9220K/10887K, paused 2ms+2ms
04-14 14:55:28.013   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 14:55:28.013   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 14:55:28.013   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 14:55:28.013   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 14:55:28.013   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 14:55:28.013   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 14:56:34.650   974   974 I PhoneLab-Locks: wake lock acquired
04-14 14:56:34.654   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
04-14 14:56:34.704   974   976 D dalvikvm: GC_CONCURRENT freed 404K, 15% free 9312K/10887K, paused 2ms+3ms
04-14 14:56:34.708   974   974 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-14 14:56:34.708   974   974 I PhoneLab-StatusMonitor: Running interval: 300000
04-14 14:56:34.716   974   974 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-14 14:56:34.716   974   974 I PhoneLab-Locks: wake lock released
04-14 14:56:34.720   974   974 I PhoneLab-StatusMonitorLocation: Learning Location
04-14 14:56:34.720   974   974 I PhoneLab-Locks: wake lock acquired
04-14 14:56:34.720   974   974 I PhoneLab-Locks: wake lock acquired
04-14 14:56:34.724   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-14 14:56:34.724   974   974 I PhoneLab-Locks: wake lock acquired
04-14 14:56:34.736   974   974 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-14 14:56:34.736   974   974 I PhoneLab-Locks: wake lock released
04-14 14:56:34.740   974   974 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-14 14:56:34.740   974   974 I PhoneLab-Locks: wake lock released
04-14 14:57:00.138   215   217 D dalvikvm: GC_CONCURRENT freed 384K, 9% free 10456K/11399K, paused 2ms+5ms
04-14 14:57:27.947   974  1149 I PhoneLab-: Service Running
04-14 14:57:27.994   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 14:57:27.997   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 14:57:27.997   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 14:57:27.997   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 14:57:27.997   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 14:57:27.997   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 14:59:27.947   974  1149 I PhoneLab-: Service Running
04-14 14:59:28.005   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 14:59:28.005   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 14:59:28.005   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 14:59:28.005   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 14:59:28.005   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 14:59:28.005   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:00:38.044   270  1041 I EventLogService: Aggregate from 1334428237989 (log), 1334428237989 (data)
04-14 15:00:38.154   270   272 D dalvikvm: GC_CONCURRENT freed 381K, 6% free 10313K/10951K, paused 4ms+3ms
04-14 15:01:27.947   974  1149 I PhoneLab-: Service Running
04-14 15:01:28.005   974  1149 I PhoneLab-LoggerService: app_34    1153  974   1444   1076  c00f1758 400c6794 S logcat
04-14 15:01:28.005   974  1149 I PhoneLab-LoggerService: Logcat pid from database 1153
04-14 15:01:28.005   974  1149 I PhoneLab-LoggerService: Logcat process found 1153
04-14 15:01:28.005   974  1149 I PhoneLab-LoggerService: Checking Threshold
04-14 15:01:28.005   974  1149 I PhoneLab-LoggerService: Starting to rename files
04-14 15:01:28.005   974  1149 I PhoneLab-LoggerService: Files found .. 2
04-14 15:01:34.755   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:01:34.767   974   974 I PhoneLab-StatusMonitor: Status Monitoring is started
04-14 15:01:34.818   974   976 D dalvikvm: GC_CONCURRENT freed 573K, 16% free 9250K/10887K, paused 2ms+5ms
04-14 15:01:34.837   974   974 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-14 15:01:34.837   974   974 I PhoneLab-StatusMonitor: Running interval: 300000
04-14 15:01:34.845   974   974 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-14 15:01:34.845   974   974 I PhoneLab-Locks: wake lock released
04-14 15:01:34.849   974   974 I PhoneLab-StatusMonitorLocation: Learning Location
04-14 15:01:34.849   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:01:34.849   974   974 I PhoneLab-Locks: wake lock acquired
04-14 15:01:34.853   974   974 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-14 15:01:34.853   974   974 I PhoneLab-Locks: wake lock acquired
