04-23 21:51:16.148 19618 19620 D dalvikvm: GC_CONCURRENT freed 423K, 10% free 9891K/10951K, paused 2ms+2ms
04-23 21:51:16.215 19618 19620 D dalvikvm: GC_CONCURRENT freed 392K, 10% free 9923K/10951K, paused 3ms+2ms
04-23 21:51:16.258 19618 19620 D dalvikvm: GC_CONCURRENT freed 351K, 9% free 10050K/10951K, paused 2ms+4ms
04-23 21:51:16.289 19618  7860 D dalvikvm: GC_FOR_ALLOC freed 472K, 10% free 9958K/10951K, paused 16ms
04-23 21:51:16.340 19618 19620 D dalvikvm: GC_CONCURRENT freed 274K, 8% free 10131K/10951K, paused 2ms+2ms
04-23 21:51:16.582 19618  7860 D dalvikvm: GC_EXPLICIT freed 337K, 10% free 9943K/10951K, paused 2ms+3ms
04-23 21:51:16.586 19618  7860 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507407, normalSync: true
04-23 21:51:16.597 19618  7860 W Gmail   : Scheduling index for 300000 ms from now
04-23 21:51:16.672 19618  7865 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507407, normalSync: true
04-23 21:51:17.152 19618  7865 D dalvikvm: GC_EXPLICIT freed 298K, 11% free 9766K/10951K, paused 2ms+3ms
04-23 21:51:17.160 19618  7865 I Gmail   : MainSyncRequestProto: lowestBkwdConvoId: 0, highestHandledServerOp: 2507407, normalSync: true
04-23 21:51:17.168 19618  7865 W Gmail   : Scheduling index for 300000 ms from now
04-23 21:51:44.012  4972  4985 I PhoneLab-: Service Running
04-23 21:51:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 21:51:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 21:51:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 21:51:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 21:51:44.070  4972  4985 I PhoneLab-LoggerService: Starting to rename files
04-23 21:51:44.070  4972  4985 I PhoneLab-LoggerService: Files found .. 2
04-23 21:51:44.070  4972  4985 I PhoneLab-LoggerService: File 1 log.out.1
04-23 21:51:44.078  4972  4985 I PhoneLab-LoggerService: Renamed successfully
04-23 21:51:44.305  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:51:44.332  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 21:51:44.410  4972  4975 D dalvikvm: GC_CONCURRENT freed 416K, 15% free 9274K/10823K, paused 2ms+4ms
04-23 21:51:44.430  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 21:51:44.430  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 21:51:44.433  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 21:51:44.437  4972  4972 I PhoneLab-Locks: wake lock released
04-23 21:51:44.437  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 21:51:44.437  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:51:44.441  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:51:44.441  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 21:51:44.441  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:51:44.449  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 21:51:44.449  4972  4972 I PhoneLab-Locks: wake lock released
04-23 21:51:44.449  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 21:51:44.449  4972  4972 I PhoneLab-Locks: wake lock released
04-23 21:53:44.012  4972  4985 I PhoneLab-: Service Running
04-23 21:53:44.058  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 21:53:44.062  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 21:53:44.062  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 21:53:44.062  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 21:53:44.062  4972  4985 I PhoneLab-LoggerService: Starting to rename files
04-23 21:53:44.062  4972  4985 I PhoneLab-LoggerService: Files found .. 2
04-23 21:55:44.012  4972  4985 I PhoneLab-: Service Running
04-23 21:55:44.070  4972  4985 I PhoneLab-LoggerService: app_34    1153  1     1444   1008  c00f1758 400c6794 S logcat
04-23 21:55:44.070  4972  4985 I PhoneLab-LoggerService: Logcat pid from database 1153
04-23 21:55:44.070  4972  4985 I PhoneLab-LoggerService: Logcat process found 1153
04-23 21:55:44.070  4972  4985 I PhoneLab-LoggerService: Checking Threshold
04-23 21:55:44.070  4972  4985 I PhoneLab-LoggerService: Starting to rename files
04-23 21:55:44.070  4972  4985 I PhoneLab-LoggerService: Files found .. 2
04-23 21:56:44.453  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:56:44.480  4972  4972 I PhoneLab-StatusMonitor: Status Monitoring is started
04-23 21:56:44.523  4972  4975 D dalvikvm: GC_CONCURRENT freed 526K, 15% free 9256K/10823K, paused 2ms+2ms
04-23 21:56:44.539  4972  4972 I PhoneLab-StatusMonitor: Value: 5 - unit: min
04-23 21:56:44.539  4972  4972 I PhoneLab-StatusMonitor: Running interval: 300000
04-23 21:56:44.547  4972  4972 I PhoneLab-StatusMonitor: Rescheduling status monitoring...
04-23 21:56:44.547  4972  4972 I PhoneLab-Locks: wake lock released
04-23 21:56:44.551  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Location
04-23 21:56:44.551  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:56:44.574  4972  4972 D dalvikvm: GC_EXPLICIT freed 307K, 16% free 9192K/10823K, paused 2ms+2ms
04-23 21:56:44.574  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:56:44.578  4972  4972 I PhoneLab-StatusMonitorLocation: Learning Signal Strgth
04-23 21:56:44.578  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:56:44.586  4972  4972 I PhoneLab-StatusMonitorBattery: Battery_level: 95
04-23 21:56:44.586  4972  4972 I PhoneLab-Locks: wake lock released
04-23 21:56:44.586  4972  4972 I PhoneLab-StatusMonitorSignal: Signal_Strength: -86 asu: 14
04-23 21:56:44.586  4972  4972 I PhoneLab-Locks: wake lock released
04-23 21:57:06.453  4972  4972 I PhoneLab-Locks: wake lock acquired
04-23 21:57:06.461  4972  7898 I PhoneLab-PeriodicCheckService: User info is synched
04-23 21:57:06.465  4972  7898 I PhoneLab-PeriodicCheckService: Logger Service is running
04-23 21:57:06.465  4972  7898 I PhoneLab-Locks: wake lock acquired
04-23 21:57:06.465  4972  4972 I PhoneLab-UploadLogs: Transfering log files now
04-23 21:57:06.469  4972  7898 I PhoneLab-PeriodicCheckService: Rescheduling periodic checking...
04-23 21:57:06.469  4972  7898 I PhoneLab-Locks: wake lock released
04-23 21:57:06.539  4972  4975 D dalvikvm: GC_CONCURRENT freed 359K, 15% free 9305K/10823K, paused 1ms+5ms
04-23 21:57:06.555  4972  4972 D dalvikvm: GC_FOR_ALLOC freed 179K, 13% free 9495K/10823K, paused 13ms
04-23 21:57:06.570  4972  4972 I PhoneLab-UploadLogs: OnStartCommand
04-23 21:57:06.586  4972  4975 D dalvikvm: GC_CONCURRENT freed 299K, 11% free 9708K/10823K, paused 2ms+2ms
04-23 21:57:06.883  4972  7900 D dalvikvm: GC_FOR_ALLOC freed 307K, 11% free 9727K/10823K, paused 26ms
04-23 21:57:06.898  4972  7900 D dalvikvm: GC_FOR_ALLOC freed 301K, 11% free 9728K/10823K, paused 13ms
04-23 21:57:06.914  4972  7900 D dalvikvm: GC_FOR_ALLOC freed 301K, 11% free 9729K/10823K, paused 13ms
04-23 21:57:09.722  4972  4972 I PhoneLab-: 1335232304074.log is deleted
04-23 21:57:09.722  4972  4972 I PhoneLab-: Response: {"data": "done", "err": ""}
04-23 21:57:09.726  4972  4972 I PhoneLab-UploadLogs: No log files to transfer
04-23 21:57:09.726  4972  4972 I PhoneLab-Locks: wake lock released
