06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.peekType(KXmlParser.java:979)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:346)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.kxml2.io.KXmlParser.next(KXmlParser.java:310)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader.parsePackets(PacketReader.java:321)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader.access$1(PacketReader.java:216)
06-25 08:56:28.734 16251 17420 W System.err: 	at org.jivesoftware.smack.PacketReader$1.run(PacketReader.java:70)
06-25 08:56:28.812   280 17423 I qtaguid : Failed write_ctrl(u 70) res=-1 errno=22
06-25 08:56:28.812   280 17423 I qtaguid : Untagging socket 70 failed errno=-22
06-25 08:56:28.812   280 17423 W NetworkManagementSocketTagger: untagSocket(70) failed with errno -22
06-25 08:56:28.812   142   198 D ConnectivityService: handleInetConditionChange: no active default network - ignore
06-25 08:56:29.015  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:56:29.047  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:56:29.047  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:56:29.047  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b19 len=8
06-25 08:56:29.047  1207  1207 D wpa_supplicant: Received 1355 bytes of scan results (7 BSSes)
06-25 08:56:29.047  1207  1207 D wpa_supplicant: wlan0: Request association: reassociate: 0  selected: d0:c2:82:7e:30:a0  bssid: 00:00:00:00:00:00  pending: 00:00:00:00:00:00  wpa_state: SCANNING
06-25 08:56:29.047  1207  1207 I wpa_supplicant: wlan0: Trying to associate with d0:c2:82:7e:30:a0 (SSID='UB_Secure' freq=2437 MHz)
06-25 08:56:29.047  1207  1207 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 0->0 (DORMANT)
06-25 08:56:29.047  1207  1207 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-25 08:56:29.047  1207  1207 D wpa_supplicant: wpa_driver_wext_associate
06-25 08:56:29.047  1207  1207 D wpa_supplicant: wpa_driver_wext_set_drop_unencrypted
06-25 08:56:29.054  1207  1207 D wpa_supplicant: wpa_driver_wext_set_psk
06-25 08:56:29.144  1207  1207 D wpa_supplicant: EAPOL: External notification - EAP success=0
06-25 08:56:29.144  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:56:29.144  1207  1207 D wpa_supplicant: EAPOL: External notification - EAP fail=0
06-25 08:56:29.144  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:56:29.144  1207  1207 D wpa_supplicant: EAPOL: External notification - portControl=Auto
06-25 08:56:29.144  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:56:29.144  1207  1207 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-25 08:56:29.144  1207  1207 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-25 08:56:29.148  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:56:29.148  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:56:29.148  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b06 len=8
06-25 08:56:29.148  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:56:29.148  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:56:29.148  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b04 len=12
06-25 08:56:29.148  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:56:29.148  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:56:29.148  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b1a len=17
06-25 08:56:29.160  1207  1207 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-25 08:56:29.160  1207  1207 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-25 08:56:29.160  1207  1207 D wpa_supplicant: Wireless event: cmd=0x8b15 len=20
06-25 08:56:29.160  1207  1207 D wpa_supplicant: Wireless event: new AP: d0:c2:82:7e:30:a0
06-25 08:56:29.160  1207  1207 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 0->0 (DORMANT)
06-25 08:56:29.160  1207  1207 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-25 08:56:29.164  1207  1207 I wpa_supplicant: wlan0: Associated with d0:c2:82:7e:30:a0
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: External notification - portEnabled=0
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: External notification - portValid=0
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: External notification - portEnabled=1
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: SUPP_PAE entering state CONNECTING
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state IDLE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: EAP entering state INITIALIZE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: deinitialize previously used EAP method (25, PEAP) at INITIALIZE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: SUPP_PAE entering state RESTART
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: EAP entering state INITIALIZE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: SUPP_PAE entering state AUTHENTICATING
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=1 method=1 vendor=0 vendorMethod=0
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: EAP entering state IDENTITY
06-25 08:56:29.164  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-25 08:56:29.164  1207  1207 D wpa_supplicant: EAPOL: txSuppRsp
06-25 08:56:29.164  1207  1207 D wpa_supplicant: TX EAPOL: dst=d0:c2:82:7e:30:a0
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=2 method=4 vendor=0 vendorMethod=0
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAP: EAP entering state GET_METHOD
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAP: configuration does not allow: vendor 0 method 4
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAP: vendor 0 method 4 not allowed
06-25 08:56:29.168  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=4 -> NAK
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAP: Building EAP-Nak (requested type 4 vendor=0 method=0 not allowed)
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAPOL: txSuppRsp
06-25 08:56:29.168  1207  1207 D wpa_supplicant: TX EAPOL: dst=d0:c2:82:7e:30:a0
06-25 08:56:29.168  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=3 method=25 vendor=0 vendorMethod=0
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAP: EAP entering state GET_METHOD
06-25 08:56:29.172  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-PROPOSED-METHOD vendor=0 method=25
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAP: Initialize selected EAP method: vendor 0 method 25 (PEAP)
06-25 08:56:29.172  1207  1207 D wpa_supplicant: TLS: using phase1 config options
06-25 08:56:29.172  1207  1207 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-METHOD EAP vendor 0 method 25 (PEAP) selected
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAP: EAP entering state METHOD
06-25 08:56:29.172  1207  1207 D wpa_supplicant: SSL: Received packet(len=6) - Flags 0x20
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAP-PEAP: Start (server ver=0, own ver=1)
06-25 08:56:29.172  1207  1207 D wpa_supplicant: EAP-PEAP: Using PEAP version 0
06-25 08:56:29.172  1207  1207 D wpa_supplicant: SSL: (where=0x10 ret=0x1)
06-25 08:56:29.172  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.175  1207  1207 D wpa_supplicant: SSL: SSL_connect:before/connect initialization
06-25 08:56:29.175  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.175  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 write client hello A
06-25 08:56:29.175  1207  1207 D wpa_supplicant: SSL: (where=0x1002 ret=0xffffffff)
06-25 08:56:29.175  1207  1207 D wpa_supplicant: SSL: SSL_connect:error in SSLv3 read server hello A
06-25 08:56:29.175  1207  1207 D wpa_supplicant: SSL: SSL_connect - want more data
06-25 08:56:29.175  1207  1207 D wpa_supplicant: SSL: 190 bytes pending from ssl_out
06-25 08:56:29.175  1207  1207 D wpa_supplicant: SSL: 190 bytes left to be sent out (of total 190 bytes)
06-25 08:56:29.175  1207  1207 D wpa_supplicant: EAP: method process -> ignore=FALSE methodState=MAY_CONT decision=FAIL
06-25 08:56:29.175  1207  1207 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-25 08:56:29.175  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.175  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-25 08:56:29.175  1207  1207 D wpa_supplicant: EAPOL: txSuppRsp
06-25 08:56:29.175  1207  1207 D wpa_supplicant: TX EAPOL: dst=d0:c2:82:7e:30:a0
06-25 08:56:29.175  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=4 method=25 vendor=0 vendorMethod=0
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAP: EAP entering state METHOD
06-25 08:56:29.207  1207  1207 D wpa_supplicant: SSL: Received packet(len=1024) - Flags 0xc0
06-25 08:56:29.207  1207  1207 D wpa_supplicant: SSL: TLS Message Length: 4310
06-25 08:56:29.207  1207  1207 D wpa_supplicant: SSL: Need 3296 bytes more input data
06-25 08:56:29.207  1207  1207 D wpa_supplicant: SSL: Building ACK (type=25 id=4 ver=0)
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAP: method process -> ignore=FALSE methodState=MAY_CONT decision=FAIL
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAPOL: txSuppRsp
06-25 08:56:29.207  1207  1207 D wpa_supplicant: TX EAPOL: dst=d0:c2:82:7e:30:a0
06-25 08:56:29.207  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=5 method=25 vendor=0 vendorMethod=0
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAP: EAP entering state METHOD
06-25 08:56:29.211  1207  1207 D wpa_supplicant: SSL: Received packet(len=1020) - Flags 0x40
06-25 08:56:29.211  1207  1207 D wpa_supplicant: SSL: Need 2282 bytes more input data
06-25 08:56:29.211  1207  1207 D wpa_supplicant: SSL: Building ACK (type=25 id=5 ver=0)
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAP: method process -> ignore=FALSE methodState=MAY_CONT decision=FAIL
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAPOL: txSuppRsp
06-25 08:56:29.211  1207  1207 D wpa_supplicant: TX EAPOL: dst=d0:c2:82:7e:30:a0
06-25 08:56:29.211  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=6 method=25 vendor=0 vendorMethod=0
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAP: EAP entering state METHOD
06-25 08:56:29.215  1207  1207 D wpa_supplicant: SSL: Received packet(len=1020) - Flags 0x40
06-25 08:56:29.215  1207  1207 D wpa_supplicant: SSL: Need 1268 bytes more input data
06-25 08:56:29.215  1207  1207 D wpa_supplicant: SSL: Building ACK (type=25 id=6 ver=0)
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAP: method process -> ignore=FALSE methodState=MAY_CONT decision=FAIL
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAPOL: txSuppRsp
06-25 08:56:29.215  1207  1207 D wpa_supplicant: TX EAPOL: dst=d0:c2:82:7e:30:a0
06-25 08:56:29.215  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=7 method=25 vendor=0 vendorMethod=0
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAP: EAP entering state METHOD
06-25 08:56:29.218  1207  1207 D wpa_supplicant: SSL: Received packet(len=1020) - Flags 0x40
06-25 08:56:29.218  1207  1207 D wpa_supplicant: SSL: Need 254 bytes more input data
06-25 08:56:29.218  1207  1207 D wpa_supplicant: SSL: Building ACK (type=25 id=7 ver=0)
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAP: method process -> ignore=FALSE methodState=MAY_CONT decision=FAIL
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAP: EAP entering state IDLE
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RESPONSE
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAPOL: txSuppRsp
06-25 08:56:29.218  1207  1207 D wpa_supplicant: TX EAPOL: dst=d0:c2:82:7e:30:a0
06-25 08:56:29.218  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state RECEIVE
06-25 08:56:29.222  1207  1207 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-25 08:56:29.222  1207  1207 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-25 08:56:29.222  1207  1207 D wpa_supplicant: EAPOL: getSuppRsp
06-25 08:56:29.222  1207  1207 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-25 08:56:29.222  1207  1207 D wpa_supplicant: EAP: Received EAP-Request id=8 method=25 vendor=0 vendorMethod=0
06-25 08:56:29.222  1207  1207 D wpa_supplicant: EAP: EAP entering state METHOD
06-25 08:56:29.222  1207  1207 D wpa_supplicant: SSL: Received packet(len=260) - Flags 0x00
06-25 08:56:29.222  1207  1207 D wpa_supplicant: SSL: (where=0x1001 ret=0x1)
06-25 08:56:29.222  1207  1207 D wpa_supplicant: SSL: SSL_connect:SSLv3 read server hello A
06-25 08:56:29.222  1207  1207 D wpa_supplicant: TLS: tls_verify_cb - preverify_ok=1 err=19 (self signed certificate in certificate chain) ca_cert_verify=0 depth=2 buf='/C=US/O=Entrust.net/OU=www.entrust.net/CPS incorp. by ref. (limits liab.)/OU=(c) 1999 Entrust.net Limited/CN=Entrust.net Secure Server Certification Authority'
