06-22 14:12:16.218 26179 26182 D dalvikvm: GC_CONCURRENT freed 674K, 8% free 9705K/10503K, paused 9ms+3ms
06-22 14:12:16.218 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:555)
06-22 14:12:16.222 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:487)
06-22 14:12:16.222 26179 26386 D Bible - E/Misc: 	org.apache.http.impl.client.AbstractHttpClient.execute(AbstractHttpClient.java:465)
06-22 14:12:16.226 26179 26386 D Bible - E/Misc: 	js.a(SourceFile:124)
06-22 14:12:16.230   280   280 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-22 14:12:16.230   280   280 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-22 14:12:16.230   280   280 D wpa_supplicant: Wireless event: cmd=0x8b19 len=8
06-22 14:12:16.230   280   280 D wpa_supplicant: Received 1985 bytes of scan results (11 BSSes)
06-22 14:12:16.230   280   280 D wpa_supplicant: wlan0: Request association: reassociate: 0  selected: 00:27:0d:e2:7d:12  bssid: 00:00:00:00:00:00  pending: 00:00:00:00:00:00  wpa_state: SCANNING
06-22 14:12:16.230   280   280 I wpa_supplicant: wlan0: Trying to associate with 00:27:0d:e2:7d:12 (SSID='UB_Secure' freq=2412 MHz)
06-22 14:12:16.230   280   280 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 0->0 (DORMANT)
06-22 14:12:16.230   280   280 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-22 14:12:16.230   280   280 D wpa_supplicant: wpa_driver_wext_associate
06-22 14:12:16.230   280   280 D wpa_supplicant: wpa_driver_wext_set_drop_unencrypted
06-22 14:12:16.237   280   280 D wpa_supplicant: wpa_driver_wext_set_psk
06-22 14:12:16.241   280   280 D wpa_supplicant: EAPOL: External notification - EAP success=0
06-22 14:12:16.241   280   280 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-22 14:12:16.241   280   280 D wpa_supplicant: EAPOL: External notification - EAP fail=0
06-22 14:12:16.241   280   280 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-22 14:12:16.241   280   280 D wpa_supplicant: EAPOL: External notification - portControl=Auto
06-22 14:12:16.241   280   280 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-22 14:12:16.241   280   280 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-22 14:12:16.241   280   280 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-22 14:12:16.241   280   280 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-22 14:12:16.241   280   280 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-22 14:12:16.241   280   280 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-22 14:12:16.241   280   280 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-22 14:12:16.241   280   280 D wpa_supplicant: RSN: Ignored PMKID candidate without preauth flag
06-22 14:12:16.245   280   280 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-22 14:12:16.245   280   280 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-22 14:12:16.245   280   280 D wpa_supplicant: Wireless event: cmd=0x8b06 len=8
06-22 14:12:16.245   280   280 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-22 14:12:16.245   280   280 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-22 14:12:16.245   280   280 D wpa_supplicant: Wireless event: cmd=0x8b04 len=12
06-22 14:12:16.245   280   280 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-22 14:12:16.245   280   280 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-22 14:12:16.245   280   280 D wpa_supplicant: Wireless event: cmd=0x8b1a len=17
06-22 14:12:16.269   280   280 D wpa_supplicant: RTM_NEWLINK: operstate=0 ifi_flags=0x11003 ([UP][LOWER_UP])
06-22 14:12:16.269   280   280 D wpa_supplicant: RTM_NEWLINK, IFLA_IFNAME: Interface 'wlan0' added
06-22 14:12:16.269   280   280 D wpa_supplicant: Wireless event: cmd=0x8b15 len=20
06-22 14:12:16.269   280   280 D wpa_supplicant: Wireless event: new AP: 00:27:0d:e2:7d:12
06-22 14:12:16.269   280   280 D wpa_supplicant: wpa_driver_wext_set_operstate: operstate 0->0 (DORMANT)
06-22 14:12:16.269   280   280 D wpa_supplicant: netlink: Operstate: linkmode=-1, operstate=5
06-22 14:12:16.273   280   280 I wpa_supplicant: wlan0: Associated with 00:27:0d:e2:7d:12
06-22 14:12:16.273   280   280 D wpa_supplicant: EAPOL: External notification - portEnabled=0
06-22 14:12:16.273   280   280 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-22 14:12:16.273   280   280 D wpa_supplicant: EAPOL: External notification - portValid=0
06-22 14:12:16.273   280   280 D wpa_supplicant: EAPOL: Supplicant port status: Unauthorized
06-22 14:12:16.273   280   280 D wpa_supplicant: EAPOL: External notification - portEnabled=1
06-22 14:12:16.273   280   280 D wpa_supplicant: EAPOL: SUPP_PAE entering state CONNECTING
06-22 14:12:16.273   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state IDLE
06-22 14:12:16.273   280   280 D wpa_supplicant: EAP: EAP entering state INITIALIZE
06-22 14:12:16.273   280   280 D wpa_supplicant: EAP: deinitialize previously used EAP method (25, PEAP) at INITIALIZE
06-22 14:12:16.277 26179 26386 D Bible - E/Misc: 	js.a(SourceFile:87)
06-22 14:12:16.284 26179 26386 D Bible - E/Misc: 	iu.a(SourceFile:101)
06-22 14:12:16.284 26179 26386 D Bible - E/Misc: 	com.youversion.mobile.android.appwidget.UpdateService.a(SourceFile:246)
06-22 14:12:16.288 26179 26386 D Bible - E/Misc: 	qi.run(SourceFile:105)
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state IDLE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: Received EAP-Packet frame
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: SUPP_PAE entering state RESTART
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state INITIALIZE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state IDLE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: SUPP_PAE entering state AUTHENTICATING
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: SUPP_BE entering state REQUEST
06-22 14:12:16.288   280   280 D wpa_supplicant: EAPOL: getSuppRsp
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state RECEIVED
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: Received EAP-Request id=1 method=1 vendor=0 vendorMethod=0
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state IDENTITY
06-22 14:12:16.288   280   280 I wpa_supplicant: wlan0: CTRL-EVENT-EAP-STARTED EAP authentication started
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state SEND_RESPONSE
06-22 14:12:16.288   280   280 D wpa_supplicant: EAP: EAP entering state IDLE
