06-19 14:05:56.963  9586 10390 D PicasaSyncManager: sync complete: SyncResult: stats []
06-19 14:05:57.010  9586  9600 V PicasaContentProvider: querySettings: defaults: {sync_on_wifi_only=1, auto_upload_account_type=null, sync_on_battery=1, sync_picasa_on_wifi_only=1, auto_upload_enabled=0, video_upload_wifi_only=1, sync_on_roaming=0, auto_upload_account_name=null}
06-19 14:05:57.014  9586 10390 D PicasaSyncManager: perform sync task: PrefetchScreenNail (jayinamdar@gmail.com)
06-19 14:05:57.065  9586 10390 D PicasaSyncManager: sync complete: SyncResult: stats []
06-19 14:05:57.076  9586 10390 D PicasaSyncService: sync finished - false
06-19 14:05:58.553   328   328 D SAN_SERVICE: *******************************************
06-19 14:05:58.553   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:05:58.553   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:15.217  8632  8645 I PhoneLab-: Service Running
06-19 14:06:15.284  8632  8645 I PhoneLab-LoggerService: app_38    1071  1     868    428   c00f181c 400107b4 S logcat
06-19 14:06:15.284  8632  8645 I PhoneLab-LoggerService: Logcat pid from database 1071
06-19 14:06:15.284  8632  8645 I PhoneLab-LoggerService: Logcat process found 1071
06-19 14:06:15.284  8632  8645 I PhoneLab-LoggerService: Checking Threshold
06-19 14:06:15.284  8632  8645 I PhoneLab-LoggerService: Starting to rename files
06-19 14:06:15.284  8632  8645 I PhoneLab-LoggerService: Files found .. 2
06-19 14:06:15.284  8632  8645 I PhoneLab-LoggerService: File 1 log.out.1
06-19 14:06:15.291  8632  8645 I PhoneLab-LoggerService: Renamed successfully
06-19 14:06:20.420   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:20.420   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:06:20.420   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:20.451   328   331 D dalvikvm: GC_CONCURRENT freed 443K, 6% free 9475K/10055K, paused 1ms+2ms
06-19 14:06:20.955   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:20.955   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:06:20.955   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:29.268   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:29.268   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:06:29.268   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:29.510   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:29.510   328   328 D SAN_SERVICE: DM App Phone Service State - 0
06-19 14:06:29.510   328   328 D SAN_SERVICE: *******************************************
06-19 14:06:35.776   328   328 D SAN_SERVICE: *******************************************
