what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870026475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348870028081
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870046706
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870050036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870061348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870061491
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870061627
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870061787
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870061963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870062124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870062483
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870062635
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870062779
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348870063155
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870071097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870075159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870087377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870097974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348870103617
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870108520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870115989
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348870119459
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870132185
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870145069
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348870150166
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870191043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870191287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870199567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348870215075
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348870217804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1348870233431
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872108051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872130792
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872135507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872158795
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348872160710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348872168023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872181426
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872182755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348872185377
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348872219380
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872332098
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872361829
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872363498
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872868674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872882022
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872892288
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1348872906146
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348872921139
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872993968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348872994183
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348873017045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348873030065
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348873035166
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348873036596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1348873037432
